Epoch, Train Loss, Valid Loss, Test Loss
1, 0.327738, 0.308775, 0.309583
2, 0.109209, 0.083855, 0.083470
3, 0.016900, 0.031614, 0.031138
4, 0.004136, 0.024272, 0.023817
5, 0.003126, 0.022162, 0.021760
6, 0.003079, 0.020877, 0.020486
7, 0.003013, 0.018778, 0.018401
8, 0.002999, 0.017024, 0.016675
9, 0.002990, 0.015691, 0.015394
10, 0.002986, 0.012939, 0.012696
11, 0.002930, 0.011330, 0.011075
12, 0.002903, 0.009208, 0.008977
13, 0.002850, 0.007645, 0.007457
14, 0.002836, 0.006519, 0.006318
15, 0.002810, 0.005274, 0.005182
16, 0.002784, 0.004544, 0.004434
17, 0.002773, 0.004027, 0.003942
18, 0.002743, 0.003725, 0.003651
19, 0.002754, 0.003478, 0.003420
20, 0.002729, 0.003327, 0.003303
21, 0.002753, 0.003214, 0.003151
22, 0.002721, 0.003066, 0.003018
23, 0.002729, 0.003017, 0.002959
