Epoch, Train Loss, Valid Loss, Test Loss
1, 0.327738, 0.308775, 0.309583
2, 0.109209, 0.083855, 0.083470
3, 0.016900, 0.031614, 0.031138
4, 0.004136, 0.024272, 0.023817
5, 0.003126, 0.022162, 0.021760
6, 0.003079, 0.020877, 0.020486
7, 0.003013, 0.018778, 0.018401
8, 0.002999, 0.017024, 0.016675
9, 0.002990, 0.015691, 0.015394
10, 0.002986, 0.012939, 0.012696
11, 0.002923, 0.011147, 0.010854
12, 0.002888, 0.009434, 0.009211
13, 0.002857, 0.007900, 0.007729
14, 0.002843, 0.006397, 0.006222
15, 0.002796, 0.005484, 0.005318
16, 0.002771, 0.004572, 0.004474
17, 0.002764, 0.004066, 0.003963
18, 0.002760, 0.003750, 0.003641
19, 0.002735, 0.003447, 0.003354
20, 0.002734, 0.003344, 0.003241
21, 0.002726, 0.003202, 0.003131
22, 0.002707, 0.003112, 0.003016
23, 0.002733, 0.003066, 0.002983
24, 0.002720, 0.003001, 0.002945
25, 0.002730, 0.003027, 0.002931
26, 0.002730, 0.002956, 0.002875
27, 0.002710, 0.002972, 0.002923
28, 0.002748, 0.002922, 0.002908
29, 0.002700, 0.002946, 0.002853
30, 0.002701, 0.002998, 0.002876
31, 0.002725, 0.002872, 0.002825
32, 0.002708, 0.002929, 0.002942
33, 0.002750, 0.002823, 0.002786
34, 0.002710, 0.002815, 0.002787
35, 0.002744, 0.002847, 0.002839
36, 0.002735, 0.002829, 0.002783
37, 0.002709, 0.002744, 0.002729
38, 0.002724, 0.002876, 0.002814
39, 0.002739, 0.002795, 0.002802
40, 0.002710, 0.002870, 0.002774
41, 0.002700, 0.002915, 0.002812
42, 0.002739, 0.002835, 0.002765
43, 0.002724, 0.002867, 0.002771
44, 0.002722, 0.002748, 0.002732
45, 0.002707, 0.002885, 0.002762
46, 0.002693, 0.002796, 0.002840
47, 0.002734, 0.002889, 0.002782
48, 0.002748, 0.002731, 0.002738
49, 0.002744, 0.002917, 0.002812
50, 0.002787, 0.002876, 0.003016
51, 0.002846, 0.002779, 0.002775
52, 0.002774, 0.002811, 0.002848
53, 0.002791, 0.002797, 0.002771
54, 0.002768, 0.002783, 0.002742
55, 0.002833, 0.003104, 0.002947
56, 0.002772, 0.002732, 0.002751
57, 0.002770, 0.002827, 0.002802
58, 0.002787, 0.002756, 0.002782
59, 0.002757, 0.002792, 0.002782
60, 0.002745, 0.002826, 0.002840
61, 0.002774, 0.002783, 0.002782
62, 0.002829, 0.002927, 0.002906
63, 0.002752, 0.002713, 0.002709
64, 0.002721, 0.002908, 0.002812
65, 0.002747, 0.002808, 0.002823
66, 0.002726, 0.002711, 0.002705
67, 0.002726, 0.002748, 0.002722
68, 0.002704, 0.002717, 0.002689
69, 0.002722, 0.003050, 0.002962
70, 0.002725, 0.002829, 0.002818
71, 0.002722, 0.002748, 0.002767
72, 0.002728, 0.002774, 0.002724
73, 0.002717, 0.002889, 0.002773
74, 0.002707, 0.002750, 0.002704
75, 0.002706, 0.002786, 0.002740
76, 0.002758, 0.002753, 0.002768
77, 0.002732, 0.002737, 0.002713
78, 0.002751, 0.002765, 0.002726
79, 0.002725, 0.002690, 0.002738
80, 0.002763, 0.002736, 0.002748
81, 0.002749, 0.002765, 0.002739
82, 0.002732, 0.002916, 0.002778
83, 0.002742, 0.002852, 0.002787
84, 0.002739, 0.002828, 0.002815
85, 0.002774, 0.002820, 0.002744
86, 0.002786, 0.002881, 0.002769
87, 0.002724, 0.002784, 0.002723
88, 0.002744, 0.002753, 0.002712
89, 0.002738, 0.002809, 0.002716
90, 0.002735, 0.002726, 0.002678
91, 0.002748, 0.002973, 0.002818
92, 0.002763, 0.002841, 0.002756
93, 0.002750, 0.002749, 0.002702
94, 0.002755, 0.002789, 0.002708
95, 0.002721, 0.002748, 0.002747
96, 0.002742, 0.002735, 0.002764
97, 0.002712, 0.002989, 0.002842
98, 0.002735, 0.002731, 0.002696
99, 0.002743, 0.002729, 0.002687
100, 0.002743, 0.002793, 0.002712
