训练开始时间: 2025-07-23 19:53:56
============================================================
Epoch   1 | Train Loss: 1.013550 | Val Loss: 0.998344 | LR: 1.00e-03 | GPU:  88.5% | Mem:  77.0%
Epoch   2 | Train Loss: 1.003387 | Val Loss: 1.003447 | LR: 9.94e-04 | GPU:  88.5% | Mem:  77.0%
Epoch   3 | Train Loss: 1.004387 | Val Loss: 0.993454 | LR: 9.76e-04 | GPU:  88.5% | Mem:  77.0%
Epoch   4 | Train Loss: 0.998673 | Val Loss: 0.998559 | LR: 9.46e-04 | GPU:  88.5% | Mem:  77.0%
Epoch   5 | Train Loss: 1.001989 | Val Loss: 1.007650 | LR: 9.05e-04 | GPU:  88.5% | Mem:  77.0%
Epoch   6 | Train Loss: 1.000967 | Val Loss: 1.012663 | LR: 8.54e-04 | GPU:  88.5% | Mem:  77.0%
Epoch   7 | Train Loss: 0.997689 | Val Loss: 1.001643 | LR: 7.94e-04 | GPU:  88.5% | Mem:  77.0%
Epoch   8 | Train Loss: 0.998713 | Val Loss: 1.010032 | LR: 7.27e-04 | GPU:  88.5% | Mem:  77.0%
Epoch   9 | Train Loss: 0.998864 | Val Loss: 1.003960 | LR: 6.55e-04 | GPU:  88.5% | Mem:  77.0%
Epoch  10 | Train Loss: 0.999873 | Val Loss: 1.003219 | LR: 5.78e-04 | GPU:  88.5% | Mem:  77.0%
Epoch  11 | Train Loss: 1.006107 | Val Loss: 1.004400 | LR: 5.00e-04 | GPU:  88.5% | Mem:  77.0%
Epoch  12 | Train Loss: 1.000874 | Val Loss: 1.008428 | LR: 4.22e-04 | GPU:  88.5% | Mem:  77.0%
Epoch  13 | Train Loss: 1.005227 | Val Loss: 0.996665 | LR: 3.45e-04 | GPU:  88.5% | Mem:  77.0%
Epoch  14 | Train Loss: 0.999409 | Val Loss: 0.999144 | LR: 2.73e-04 | GPU:  88.5% | Mem:  77.0%
Epoch  15 | Train Loss: 1.004564 | Val Loss: 0.999906 | LR: 2.06e-04 | GPU:  88.5% | Mem:  77.0%
Epoch  16 | Train Loss: 1.000975 | Val Loss: 1.001992 | LR: 1.46e-04 | GPU:  88.5% | Mem:  77.0%
Epoch  17 | Train Loss: 1.003383 | Val Loss: 1.003435 | LR: 9.55e-05 | GPU:  88.5% | Mem:  77.0%
Epoch  18 | Train Loss: 1.001498 | Val Loss: 1.007450 | LR: 5.45e-05 | GPU:  88.5% | Mem:  77.0%
Epoch  19 | Train Loss: 1.004601 | Val Loss: 0.997576 | LR: 2.45e-05 | GPU:  88.5% | Mem:  77.0%
Epoch  20 | Train Loss: 1.004394 | Val Loss: 0.996128 | LR: 6.16e-06 | GPU:  88.5% | Mem:  77.0%
