config,final_epoch,final_train_loss,final_valid_loss,final_test_loss,avg_train_loss,avg_valid_loss,avg_test_loss,total_epochs
0,4890,7.9e-05,4.7e-05,4.7e-05,7.76e-05,4.74e-05,4.78e-05,4890
1,473,0.002377,,,0.0023794,,,473
14,5000,7.2e-05,5.3e-05,4.9e-05,7.4e-05,5.8399999999999997e-05,5.44e-05,5000
17,4840,6.8e-05,4.9e-05,4.9e-05,6.819999999999999e-05,5.3200000000000006e-05,5.28e-05,4840
19,5000,5.8e-05,4.9e-05,4.9e-05,6.0400000000000004e-05,5.04e-05,5.08e-05,5000
2,5000,6.4e-05,5.9e-05,5.6e-05,5.9199999999999996e-05,5.4199999999999996e-05,5.3e-05,5000
26,5000,6.3e-05,5e-05,5e-05,6.48e-05,5.239999999999999e-05,5.26e-05,5000
29,5000,6.4e-05,4.8e-05,4.8e-05,6.56e-05,5.1599999999999994e-05,5.2000000000000004e-05,5000
3,5000,5.7e-05,4.7e-05,4.7e-05,5.7600000000000004e-05,4.96e-05,4.9399999999999995e-05,5000
30,671,0.002242,0.002328,0.002299,0.0022416000000000003,0.0023314,0.0023016,671
31,4843,6.7e-05,4.7e-05,4.8e-05,6.8e-05,4.7600000000000005e-05,4.72e-05,4843
32,4831,6.9e-05,5.3e-05,5.3e-05,6.92e-05,5.12e-05,5.2e-05,4831
33,2529,0.000292,,,0.0002946,,,2529
34,4678,7.2e-05,4.7e-05,4.7e-05,7.14e-05,4.6800000000000006e-05,4.64e-05,4678
35,5000,6.5e-05,4.8e-05,4.8e-05,6.78e-05,5.28e-05,5.3e-05,5000
36,4852,6.6e-05,4.6e-05,4.6e-05,6.58e-05,4.64e-05,4.68e-05,4852
37,4678,7.2e-05,4.7e-05,4.7e-05,7.139999999999999e-05,4.660000000000001e-05,4.6200000000000005e-05,4678
38,4678,7.2e-05,4.7e-05,4.7e-05,7.12e-05,4.660000000000001e-05,4.660000000000001e-05,4678
39,3298,0.000153,,,0.00014859999999999998,,,3298
4,5000,5.6e-05,5e-05,4.9e-05,5.7799999999999995e-05,5.2799999999999996e-05,5.3e-05,5000
40,4678,7.3e-05,4.7e-05,4.8e-05,7.219999999999999e-05,4.7000000000000004e-05,4.72e-05,4678
41,2483,0.000314,,,0.0003166,,,2483
42,3138,0.00018,0.000168,0.000159,0.00017559999999999999,0.0001224,0.0001146,3138
43,2424,0.000327,0.000174,0.000157,0.00032300000000000004,0.00019979999999999998,0.0001818,2424
44,2775,0.000258,,,0.0002568,,,2775
45,2580,0.000298,0.000178,0.000162,0.000302,0.00018759999999999998,0.00017079999999999998,2580
46,210,0.002743,0.00261,0.002591,0.0027511999999999997,0.0026116,0.0025934,210
48,209,0.002768,0.00261,0.002592,0.0027732000000000004,0.0026116,0.0025934,209
5,5000,7.3e-05,6.2e-05,6e-05,6.939999999999999e-05,6.36e-05,6.24e-05,5000
6,203,0.002325,0.002624,0.002608,0.0023264,0.0026234000000000006,0.0026076,203
7,5000,6.2e-05,4.8e-05,4.7e-05,5.94e-05,5.06e-05,4.92e-05,5000
9,3123,0.00018,,,0.00016619999999999997,,,3123
