Epoch, Train Loss, Valid Loss, Test Loss
1, 0.493216, 0.542096, 0.543740
2, 0.424162, 0.475903, 0.478210
3, 0.371485, 0.417423, 0.420614
4, 0.332295, 0.369342, 0.373116
5, 0.302490, 0.331271, 0.335570
6, 0.279256, 0.307016, 0.311386
7, 0.263524, 0.287242, 0.291613
8, 0.249488, 0.269963, 0.274221
9, 0.236007, 0.252763, 0.256665
10, 0.221849, 0.235821, 0.239400
11, 0.207479, 0.219293, 0.222533
12, 0.192991, 0.203244, 0.206095
13, 0.178596, 0.188401, 0.190899
14, 0.165124, 0.174320, 0.176538
15, 0.152484, 0.160736, 0.162722
16, 0.140442, 0.147808, 0.149592
17, 0.129040, 0.135417, 0.137018
18, 0.118169, 0.123346, 0.124792
19, 0.107659, 0.111528, 0.112852
20, 0.097452, 0.100068, 0.101298
21, 0.087625, 0.089145, 0.090293
22, 0.078290, 0.078970, 0.080041
23, 0.069574, 0.069721, 0.070712
24, 0.061597, 0.061441, 0.062349
25, 0.054421, 0.054089, 0.054916
26, 0.048030, 0.047607, 0.048364
27, 0.042366, 0.041937, 0.042633
28, 0.037385, 0.037020, 0.037662
29, 0.033040, 0.032722, 0.033315
30, 0.029235, 0.028903, 0.029453
31, 0.025900, 0.025518, 0.026029
32, 0.022920, 0.022557, 0.023031
33, 0.020353, 0.020008, 0.020448
34, 0.018108, 0.017821, 0.018231
35, 0.016185, 0.015959, 0.016341
36, 0.014553, 0.014377, 0.014738
37, 0.013165, 0.013045, 0.013388
38, 0.011999, 0.011915, 0.012243
39, 0.011003, 0.010946, 0.011261
40, 0.010143, 0.010093, 0.010396
41, 0.009380, 0.009319, 0.009611
42, 0.008714, 0.008601, 0.008883
43, 0.008093, 0.007962, 0.008234
44, 0.007547, 0.007389, 0.007649
45, 0.007053, 0.006873, 0.007123
46, 0.006609, 0.006408, 0.006649
47, 0.006225, 0.005990, 0.006224
48, 0.005879, 0.005624, 0.005851
49, 0.005580, 0.005311, 0.005533
50, 0.005319, 0.005048, 0.005264
51, 0.005094, 0.004822, 0.005030
52, 0.004888, 0.004617, 0.004818
53, 0.004701, 0.004433, 0.004626
54, 0.004540, 0.004265, 0.004451
55, 0.004394, 0.004117, 0.004297
56, 0.004258, 0.003987, 0.004161
57, 0.004141, 0.003866, 0.004035
58, 0.004038, 0.003761, 0.003926
59, 0.003951, 0.003677, 0.003837
60, 0.003880, 0.003609, 0.003764
61, 0.003811, 0.003544, 0.003694
62, 0.003748, 0.003477, 0.003623
63, 0.003700, 0.003413, 0.003555
64, 0.003653, 0.003351, 0.003489
65, 0.003605, 0.003302, 0.003436
66, 0.003557, 0.003257, 0.003387
67, 0.003507, 0.003219, 0.003346
68, 0.003485, 0.003174, 0.003297
69, 0.003445, 0.003133, 0.003253
70, 0.003425, 0.003102, 0.003218
71, 0.003388, 0.003081, 0.003195
72, 0.003361, 0.003058, 0.003169
73, 0.003344, 0.003033, 0.003141
74, 0.003322, 0.003008, 0.003113
75, 0.003305, 0.002985, 0.003087
76, 0.003280, 0.002967, 0.003067
77, 0.003271, 0.002954, 0.003050
78, 0.003256, 0.002945, 0.003038
79, 0.003241, 0.002932, 0.003022
80, 0.003224, 0.002914, 0.003003
81, 0.003214, 0.002897, 0.002983
82, 0.003204, 0.002882, 0.002967
83, 0.003195, 0.002877, 0.002959
84, 0.003180, 0.002879, 0.002957
85, 0.003179, 0.002868, 0.002944
86, 0.003163, 0.002857, 0.002930
87, 0.003155, 0.002844, 0.002916
88, 0.003148, 0.002834, 0.002904
89, 0.003141, 0.002828, 0.002897
90, 0.003138, 0.002820, 0.002887
91, 0.003123, 0.002812, 0.002876
92, 0.003122, 0.002809, 0.002871
93, 0.003123, 0.002809, 0.002868
94, 0.003110, 0.002805, 0.002861
95, 0.003103, 0.002798, 0.002852
96, 0.003091, 0.002790, 0.002843
97, 0.003093, 0.002781, 0.002833
98, 0.003087, 0.002776, 0.002827
99, 0.003077, 0.002779, 0.002827
100, 0.003078, 0.002781, 0.002828
101, 0.003073, 0.002778, 0.002823
102, 0.003061, 0.002768, 0.002813
103, 0.003062, 0.002759, 0.002802
104, 0.003060, 0.002756, 0.002797
105, 0.003051, 0.002759, 0.002799
106, 0.003046, 0.002762, 0.002800
107, 0.003047, 0.002758, 0.002795
108, 0.003037, 0.002750, 0.002786
109, 0.003032, 0.002742, 0.002777
110, 0.003032, 0.002742, 0.002775
111, 0.003029, 0.002746, 0.002777
112, 0.003030, 0.002740, 0.002770
113, 0.003021, 0.002736, 0.002765
114, 0.003018, 0.002731, 0.002760
115, 0.003022, 0.002731, 0.002759
116, 0.003003, 0.002730, 0.002757
117, 0.003003, 0.002726, 0.002752
118, 0.002999, 0.002723, 0.002748
119, 0.003000, 0.002723, 0.002747
120, 0.002998, 0.002723, 0.002746
121, 0.002991, 0.002721, 0.002743
122, 0.002993, 0.002718, 0.002739
123, 0.002990, 0.002716, 0.002736
124, 0.002986, 0.002713, 0.002732
125, 0.002985, 0.002715, 0.002732
126, 0.002979, 0.002713, 0.002730
127, 0.002977, 0.002703, 0.002720
128, 0.002977, 0.002701, 0.002717
129, 0.002975, 0.002702, 0.002717
130, 0.002969, 0.002708, 0.002721
131, 0.002968, 0.002706, 0.002718
132, 0.002959, 0.002702, 0.002713
133, 0.002955, 0.002696, 0.002708
134, 0.002953, 0.002695, 0.002706
135, 0.002947, 0.002695, 0.002704
136, 0.002950, 0.002694, 0.002702
137, 0.002950, 0.002696, 0.002704
138, 0.002942, 0.002693, 0.002700
139, 0.002940, 0.002691, 0.002698
140, 0.002934, 0.002686, 0.002692
141, 0.002930, 0.002684, 0.002690
142, 0.002926, 0.002683, 0.002689
143, 0.002922, 0.002685, 0.002690
144, 0.002924, 0.002685, 0.002690
145, 0.002919, 0.002687, 0.002690
146, 0.002914, 0.002683, 0.002686
147, 0.002916, 0.002679, 0.002681
148, 0.002907, 0.002674, 0.002677
149, 0.002917, 0.002672, 0.002675
150, 0.002907, 0.002672, 0.002674
151, 0.002901, 0.002674, 0.002675
152, 0.002902, 0.002673, 0.002673
153, 0.002893, 0.002673, 0.002672
154, 0.002901, 0.002670, 0.002669
155, 0.002894, 0.002668, 0.002667
156, 0.002890, 0.002668, 0.002667
157, 0.002888, 0.002669, 0.002667
158, 0.002884, 0.002667, 0.002663
159, 0.002883, 0.002668, 0.002664
160, 0.002881, 0.002663, 0.002660
161, 0.002879, 0.002664, 0.002660
162, 0.002869, 0.002660, 0.002656
163, 0.002875, 0.002658, 0.002653
164, 0.002870, 0.002657, 0.002652
165, 0.002865, 0.002658, 0.002652
166, 0.002866, 0.002659, 0.002652
167, 0.002858, 0.002660, 0.002653
168, 0.002860, 0.002657, 0.002650
169, 0.002854, 0.002655, 0.002647
170, 0.002861, 0.002652, 0.002644
171, 0.002855, 0.002652, 0.002643
172, 0.002851, 0.002649, 0.002640
173, 0.002845, 0.002649, 0.002640
174, 0.002847, 0.002649, 0.002639
175, 0.002843, 0.002647, 0.002638
176, 0.002842, 0.002647, 0.002637
177, 0.002834, 0.002647, 0.002636
178, 0.002837, 0.002645, 0.002635
179, 0.002831, 0.002646, 0.002635
180, 0.002828, 0.002644, 0.002633
181, 0.002830, 0.002643, 0.002632
182, 0.002822, 0.002641, 0.002630
183, 0.002822, 0.002638, 0.002626
184, 0.002820, 0.002637, 0.002624
185, 0.002817, 0.002638, 0.002624
186, 0.002815, 0.002640, 0.002626
187, 0.002816, 0.002637, 0.002624
188, 0.002809, 0.002637, 0.002623
189, 0.002809, 0.002634, 0.002619
190, 0.002810, 0.002636, 0.002621
191, 0.002804, 0.002633, 0.002619
192, 0.002802, 0.002631, 0.002617
193, 0.002797, 0.002628, 0.002614
194, 0.002795, 0.002625, 0.002610
195, 0.002793, 0.002626, 0.002610
196, 0.002794, 0.002626, 0.002611
197, 0.002795, 0.002627, 0.002611
198, 0.002790, 0.002624, 0.002608
199, 0.002781, 0.002621, 0.002605
200, 0.002783, 0.002620, 0.002603
201, 0.002777, 0.002620, 0.002604
202, 0.002777, 0.002622, 0.002606
203, 0.002778, 0.002622, 0.002605
204, 0.002771, 0.002618, 0.002601
205, 0.002777, 0.002615, 0.002597
206, 0.002772, 0.002613, 0.002595
207, 0.002768, 0.002612, 0.002594
208, 0.002766, 0.002612, 0.002595
209, 0.002765, 0.002611, 0.002594
210, 0.002757, 0.002610, 0.002592
211, 0.002761, 0.002609, 0.002590
212, 0.002759, 0.002610, 0.002591
213, 0.002757, 0.002609, 0.002590
214, 0.002749, 0.002606, 0.002588
215, 0.002754, 0.002604, 0.002585
216, 0.002749, 0.002603, 0.002584
217, 0.002747, 0.002602, 0.002582
218, 0.002749, 0.002602, 0.002582
219, 0.002742, 0.002600, 0.002580
220, 0.002740, 0.002598, 0.002579
221, 0.002740, 0.002596, 0.002577
222, 0.002740, 0.002595, 0.002575
223, 0.002735, 0.002594, 0.002574
224, 0.002734, 0.002594, 0.002573
225, 0.002729, 0.002593, 0.002572
226, 0.002725, 0.002591, 0.002571
227, 0.002726, 0.002589, 0.002569
228, 0.002728, 0.002588, 0.002567
229, 0.002721, 0.002588, 0.002566
230, 0.002719, 0.002587, 0.002565
231, 0.002718, 0.002584, 0.002563
232, 0.002715, 0.002583, 0.002562
233, 0.002713, 0.002582, 0.002560
234, 0.002711, 0.002582, 0.002560
235, 0.002712, 0.002579, 0.002557
236, 0.002710, 0.002577, 0.002556
237, 0.002711, 0.002575, 0.002554
238, 0.002707, 0.002575, 0.002553
239, 0.002701, 0.002575, 0.002552
240, 0.002704, 0.002573, 0.002550
241, 0.002698, 0.002570, 0.002548
242, 0.002697, 0.002567, 0.002545
243, 0.002697, 0.002565, 0.002542
244, 0.002691, 0.002565, 0.002541
245, 0.002690, 0.002565, 0.002541
246, 0.002689, 0.002563, 0.002540
247, 0.002684, 0.002561, 0.002538
248, 0.002682, 0.002558, 0.002534
249, 0.002685, 0.002556, 0.002532
250, 0.002679, 0.002554, 0.002531
251, 0.002678, 0.002554, 0.002531
252, 0.002675, 0.002554, 0.002530
253, 0.002675, 0.002551, 0.002527
254, 0.002679, 0.002549, 0.002525
255, 0.002669, 0.002547, 0.002523
256, 0.002669, 0.002546, 0.002522
257, 0.002668, 0.002545, 0.002521
258, 0.002662, 0.002545, 0.002520
259, 0.002665, 0.002543, 0.002518
260, 0.002660, 0.002539, 0.002514
261, 0.002657, 0.002536, 0.002511
262, 0.002654, 0.002535, 0.002511
263, 0.002653, 0.002535, 0.002509
264, 0.002653, 0.002534, 0.002508
265, 0.002648, 0.002531, 0.002506
266, 0.002648, 0.002527, 0.002502
267, 0.002645, 0.002525, 0.002499
268, 0.002645, 0.002524, 0.002498
269, 0.002639, 0.002525, 0.002499
270, 0.002639, 0.002523, 0.002497
271, 0.002639, 0.002521, 0.002494
272, 0.002637, 0.002518, 0.002492
273, 0.002633, 0.002516, 0.002489
274, 0.002633, 0.002513, 0.002486
275, 0.002627, 0.002513, 0.002486
276, 0.002623, 0.002513, 0.002487
277, 0.002625, 0.002510, 0.002483
278, 0.002623, 0.002509, 0.002481
279, 0.002622, 0.002506, 0.002479
280, 0.002617, 0.002504, 0.002477
281, 0.002619, 0.002501, 0.002474
282, 0.002619, 0.002500, 0.002473
283, 0.002616, 0.002500, 0.002473
284, 0.002616, 0.002500, 0.002473
285, 0.002611, 0.002497, 0.002470
286, 0.002610, 0.002494, 0.002467
287, 0.002609, 0.002490, 0.002462
288, 0.002601, 0.002489, 0.002462
289, 0.002604, 0.002490, 0.002462
290, 0.002604, 0.002487, 0.002459
291, 0.002601, 0.002487, 0.002459
292, 0.002595, 0.002489, 0.002462
293, 0.002598, 0.002485, 0.002457
294, 0.002598, 0.002480, 0.002452
295, 0.002594, 0.002480, 0.002452
296, 0.002589, 0.002482, 0.002454
297, 0.002592, 0.002480, 0.002452
298, 0.002590, 0.002476, 0.002447
299, 0.002584, 0.002474, 0.002445
300, 0.002586, 0.002475, 0.002446
301, 0.002587, 0.002473, 0.002444
302, 0.002583, 0.002471, 0.002442
303, 0.002581, 0.002472, 0.002444
304, 0.002585, 0.002472, 0.002443
305, 0.002582, 0.002468, 0.002438
306, 0.002578, 0.002465, 0.002435
307, 0.002575, 0.002468, 0.002439
308, 0.002576, 0.002465, 0.002436
309, 0.002574, 0.002462, 0.002433
310, 0.002570, 0.002462, 0.002434
311, 0.002572, 0.002464, 0.002435
312, 0.002571, 0.002461, 0.002433
313, 0.002569, 0.002461, 0.002432
314, 0.002569, 0.002460, 0.002431
315, 0.002566, 0.002459, 0.002430
316, 0.002566, 0.002457, 0.002428
317, 0.002562, 0.002455, 0.002426
318, 0.002565, 0.002455, 0.002426
319, 0.002563, 0.002455, 0.002426
320, 0.002563, 0.002454, 0.002425
321, 0.002563, 0.002452, 0.002423
322, 0.002560, 0.002454, 0.002425
323, 0.002562, 0.002456, 0.002427
324, 0.002561, 0.002452, 0.002422
325, 0.002558, 0.002449, 0.002420
326, 0.002556, 0.002448, 0.002418
327, 0.002555, 0.002448, 0.002418
328, 0.002552, 0.002447, 0.002418
329, 0.002555, 0.002448, 0.002418
330, 0.002555, 0.002446, 0.002417
331, 0.002551, 0.002448, 0.002418
332, 0.002553, 0.002446, 0.002417
333, 0.002550, 0.002446, 0.002417
334, 0.002549, 0.002443, 0.002414
335, 0.002546, 0.002442, 0.002413
336, 0.002546, 0.002447, 0.002418
337, 0.002547, 0.002444, 0.002415
338, 0.002548, 0.002438, 0.002409
339, 0.002546, 0.002440, 0.002411
340, 0.002546, 0.002444, 0.002415
341, 0.002544, 0.002439, 0.002410
342, 0.002541, 0.002439, 0.002410
343, 0.002544, 0.002444, 0.002415
344, 0.002539, 0.002437, 0.002407
345, 0.002538, 0.002433, 0.002403
346, 0.002540, 0.002439, 0.002408
347, 0.002539, 0.002439, 0.002409
348, 0.002538, 0.002435, 0.002405
349, 0.002542, 0.002436, 0.002406
350, 0.002538, 0.002437, 0.002407
351, 0.002536, 0.002432, 0.002403
352, 0.002537, 0.002432, 0.002402
353, 0.002535, 0.002433, 0.002404
354, 0.002534, 0.002432, 0.002403
355, 0.002535, 0.002430, 0.002401
356, 0.002533, 0.002432, 0.002402
357, 0.002534, 0.002429, 0.002400
358, 0.002531, 0.002428, 0.002399
359, 0.002529, 0.002429, 0.002399
360, 0.002532, 0.002434, 0.002404
361, 0.002532, 0.002426, 0.002397
362, 0.002531, 0.002425, 0.002395
363, 0.002530, 0.002428, 0.002398
364, 0.002525, 0.002427, 0.002396
365, 0.002529, 0.002422, 0.002393
366, 0.002529, 0.002425, 0.002395
367, 0.002525, 0.002426, 0.002396
368, 0.002524, 0.002422, 0.002392
369, 0.002525, 0.002422, 0.002392
370, 0.002524, 0.002425, 0.002395
371, 0.002526, 0.002422, 0.002392
372, 0.002527, 0.002420, 0.002391
373, 0.002524, 0.002423, 0.002393
374, 0.002522, 0.002420, 0.002390
375, 0.002521, 0.002420, 0.002390
376, 0.002520, 0.002423, 0.002393
377, 0.002521, 0.002419, 0.002390
378, 0.002522, 0.002419, 0.002389
379, 0.002523, 0.002420, 0.002390
380, 0.002518, 0.002417, 0.002387
381, 0.002516, 0.002418, 0.002388
382, 0.002517, 0.002419, 0.002388
383, 0.002517, 0.002416, 0.002386
384, 0.002522, 0.002416, 0.002386
385, 0.002517, 0.002419, 0.002389
386, 0.002515, 0.002415, 0.002385
387, 0.002516, 0.002414, 0.002384
388, 0.002514, 0.002413, 0.002383
389, 0.002514, 0.002418, 0.002387
390, 0.002515, 0.002415, 0.002384
391, 0.002515, 0.002413, 0.002382
392, 0.002513, 0.002418, 0.002387
393, 0.002514, 0.002412, 0.002382
394, 0.002511, 0.002411, 0.002381
395, 0.002508, 0.002414, 0.002383
396, 0.002511, 0.002415, 0.002385
397, 0.002509, 0.002410, 0.002381
398, 0.002510, 0.002413, 0.002382
399, 0.002511, 0.002412, 0.002381
400, 0.002512, 0.002406, 0.002377
401, 0.002508, 0.002409, 0.002379
402, 0.002504, 0.002415, 0.002384
403, 0.002508, 0.002409, 0.002380
404, 0.002509, 0.002407, 0.002378
405, 0.002507, 0.002411, 0.002380
406, 0.002506, 0.002409, 0.002378
407, 0.002506, 0.002404, 0.002375
408, 0.002504, 0.002408, 0.002377
409, 0.002506, 0.002408, 0.002377
410, 0.002502, 0.002407, 0.002376
411, 0.002503, 0.002406, 0.002375
412, 0.002502, 0.002408, 0.002377
413, 0.002504, 0.002405, 0.002374
414, 0.002501, 0.002405, 0.002374
415, 0.002500, 0.002406, 0.002375
416, 0.002505, 0.002404, 0.002374
417, 0.002499, 0.002405, 0.002374
418, 0.002499, 0.002401, 0.002371
419, 0.002502, 0.002405, 0.002375
420, 0.002496, 0.002407, 0.002377
421, 0.002497, 0.002401, 0.002372
422, 0.002501, 0.002402, 0.002372
423, 0.002499, 0.002411, 0.002380
424, 0.002501, 0.002400, 0.002370
425, 0.002501, 0.002399, 0.002370
426, 0.002501, 0.002418, 0.002385
427, 0.002498, 0.002401, 0.002371
428, 0.002500, 0.002399, 0.002370
429, 0.002502, 0.002410, 0.002377
430, 0.002502, 0.002401, 0.002370
431, 0.002494, 0.002398, 0.002369
432, 0.002498, 0.002403, 0.002371
433, 0.002496, 0.002409, 0.002376
434, 0.002498, 0.002398, 0.002369
435, 0.002497, 0.002405, 0.002373
436, 0.002491, 0.002412, 0.002379
437, 0.002495, 0.002398, 0.002368
438, 0.002497, 0.002398, 0.002367
439, 0.002491, 0.002404, 0.002373
440, 0.002494, 0.002395, 0.002366
441, 0.002493, 0.002396, 0.002366
442, 0.002495, 0.002404, 0.002372
443, 0.002495, 0.002397, 0.002367
444, 0.002492, 0.002398, 0.002368
445, 0.002488, 0.002401, 0.002369
446, 0.002491, 0.002397, 0.002366
447, 0.002492, 0.002394, 0.002364
448, 0.002491, 0.002402, 0.002370
449, 0.002490, 0.002398, 0.002367
450, 0.002488, 0.002394, 0.002364
451, 0.002489, 0.002397, 0.002366
452, 0.002489, 0.002398, 0.002366
453, 0.002486, 0.002393, 0.002362
454, 0.002492, 0.002395, 0.002364
455, 0.002488, 0.002401, 0.002369
456, 0.002488, 0.002394, 0.002364
457, 0.002484, 0.002394, 0.002363
458, 0.002487, 0.002396, 0.002364
459, 0.002490, 0.002398, 0.002367
460, 0.002487, 0.002392, 0.002362
461, 0.002487, 0.002393, 0.002362
462, 0.002484, 0.002395, 0.002364
463, 0.002487, 0.002391, 0.002361
464, 0.002484, 0.002394, 0.002363
465, 0.002484, 0.002397, 0.002365
466, 0.002484, 0.002390, 0.002360
467, 0.002487, 0.002394, 0.002363
468, 0.002483, 0.002402, 0.002370
469, 0.002487, 0.002389, 0.002360
470, 0.002488, 0.002392, 0.002361
471, 0.002481, 0.002399, 0.002367
472, 0.002488, 0.002389, 0.002359
473, 0.002483, 0.002390, 0.002360
474, 0.002481, 0.002395, 0.002364
475, 0.002486, 0.002390, 0.002359
476, 0.002485, 0.002390, 0.002360
